artist,album_name,score,release_date
BC Camplight,Shortly After Takeoff,89,Apr 24
Lucinda Williams,Good Souls Better Angels,84,Apr 24
Other Lives,For Their Love,82,Apr 24
Ezra Furman,Sex Education [Original Soundtrack],84,Apr 24
Whitney Rose,We Still Go To Rodeos,81,Apr 24
Trivium,What the Dead Men Say,84,Apr 24
Lorenzo Senni,Scacco Matto,80,Apr 24
Katatonia,City Burials,79,Apr 24
Rina Sawayama,Sawayama,90,Apr 17
Enter Shikari,Nothing Is True & Everything Is Possible,80,Apr 17
Fiona Apple,Fetch the Bolt Cutters,100,Apr 17
Lido Pimienta,Miss Colombia,86,Apr 17
Ron Sexsmith,Hermitage,80,Apr 17
dvsn,A Muse In Her Feelings,78,Apr 17
Sir Richard Bishop,Oneiric Formulary,80,Apr 17
Shelby Lynne,Shelby Lynne,80,Apr 17
Gerry Cinnamon,The Bonny,78,Apr 17
The Mountain Goats,Songs for Pierre Chuvin,80,Apr 17
Hamilton Leithauser,The Loves of Your Life,80,Apr 10
Laura Marling,Song for Our Daughter,89,Apr 10
Trace Mountains,Lost in the Country,78,Apr 10
Jackie Lynn,Jacqueline,77,Apr 10
DJ Python,Mas Amable,82,Apr 10
The Dream Syndicate,The Universe Inside,83,Apr 10
Tory Lanez,New Toronto 3 [Mixtape],79,Apr 10
Béla Fleck,The Ripple Effect,77,Apr 10
Roedelius,Selbstportrait Wahre Liebe,82,Apr 10
Thundercat,It Is What It Is,84,Apr  3
Yves Tumor,Heaven to a Tortured Mind,88,Apr  3
Pigs Pigs Pigs Pigs Pigs Pigs Pigs,Viscerals,80,Apr  3
Melt Yourself Down,100% Yes,81,Apr  3
Ashley McBryde,Never Will,83,Apr  3
Empress Of,I'm Your Empress Of,82,Apr  3
Mystery Jets,A Billion Heartbeats,87,Apr  3
Ren Harvieu,Revel in the Drama,81,Apr  3
Testament,Titans of Creation,83,Apr  3
Wilma Archer,Western Circular,81,Apr  3
James Elkington,Ever-Roving Eye,85,Apr  3
Born Ruffians,Juice,79,Apr  3
Nathan Fake,Blizzards,79,Apr  3
Yaeji,What We Drew [Mixtape],84,Apr  2
