artist,album_name,score,release_date
Jason Isbell and the 400 Unit,Reunions,79,May 15
Sparks,"A Steady Drip, Drip, Drip",84,May 15
Melkbelly,PITH,78,May 15
Perfume Genius,Set My Heart on Fire Immediately,85,May 15
Mark Lanegan,Straight Songs of Sorrow,82,May  8
I Break Horses,Warnings,81,May  8
Kehlani,It Was Good Until It Wasn't,77,May  8
Hayley Williams,Petals for Armor,84,May  8
Blake Mills,Mutable Set,84,May  8
Buscabulla,Regresa,83,May  8
Ghostpoet,I Grow Tired But Dare Not Fall Asleep,79,May  1
Happyness,Floatr,77,May  1
Damien Jurado,"What's New, Tomboy?",78,May  1
Boston Manor,Glue,90,May  1
The Soft Pink Truth,Shall We Go on Sinning So That Grace May Increase?,83,May  1
Ital Tek,Outland,81,May  1
Markus Floats,Third Album,78,May  1
Man Man,Dream Hunting in the Valley of the In-Between,78,May  1
X,Alphabetland,82,May  1
